slot_id,3A,3C,4B,4C,5B,5C,4BNO,5DNO,3BLSA,3CI,4ALSA,4CI,5DI,5ALSA,3AtMb,3InA,4AtA,4MA,5AtIB,5MBCH,3GL,3CL,4GL,5AL,3AS,3ESA,4AS-SAA,4BS,4AS,4BU,4CU,4DS,5BS,5AS,3D,3F,3G,4B,4D,4G,5A,5G,3DSA,3I,4ASA,4B,4BSA,4C,4CSA,4H,5C,3O,4C,4D,4F,4G,4H,4O,5D,5F,5G,5H,5I,5O,5P,3B,3M,3A,3C,3D,5E,5C,3A,3C,3E,4A,4C,5AM,5C,5D,5E,3C,3F,4A,4B,5A,5F
s04-02-27-ven-M1,N,S,S,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s04-02-27-ven-M2,N,S,S,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s04-02-27-ven-P,S,N,N,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,S,S,N,N,N,S,N,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s04-02-28-sab-M1,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s04-02-28-sab-M2,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-02-lun-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-02-lun-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-02-lun-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s05-03-03-mar-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-03-mar-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-03-mar-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s05-03-04-mer-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-04-mer-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-04-mer-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s05-03-05-gio-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-05-gio-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-05-gio-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s05-03-06-ven-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-06-ven-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,N,N,S,S,S,S,S,S,S,N,S,N,N,S,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-06-ven-P,S,N,N,S,N,S,N,N,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s05-03-07-sab-M1,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s05-03-07-sab-M2,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-09-lun-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-09-lun-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-09-lun-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s06-03-10-mar-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-10-mar-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-10-mar-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s06-03-11-mer-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-11-mer-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-11-mer-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s06-03-12-gio-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-12-gio-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-12-gio-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s06-03-13-ven-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-13-ven-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,S,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-13-ven-P,S,N,N,S,N,S,N,N,N,S,S,S,S,S,S,S,N,N,S,S,N,N,N,N,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,S,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s06-03-14-sab-M1,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s06-03-14-sab-M2,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-16-lun-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-16-lun-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-16-lun-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s07-03-17-mar-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-17-mar-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-17-mar-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s07-03-18-mer-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-18-mer-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-18-mer-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s07-03-19-gio-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-19-gio-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-19-gio-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s07-03-20-ven-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-20-ven-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-20-ven-P,S,N,N,S,N,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,N,N,S,S,S,S,S,N,N,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s07-03-21-sab-M1,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s07-03-21-sab-M2,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-23-lun-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-23-lun-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-23-lun-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s08-03-24-mar-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-24-mar-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-24-mar-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s08-03-25-mer-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-25-mer-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-25-mer-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s08-03-26-gio-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-26-gio-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,N,N,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-26-gio-P,S,N,N,S,N,S,S,S,N,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s08-03-27-ven-M1,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-27-ven-M2,N,S,S,N,S,N,N,N,S,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,N,S,S,S,S,S,S,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-27-ven-P,S,N,N,S,N,S,N,N,N,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,S,S,S,S,S,N,N,S,S,S,N,N,N,N,N,N,N,N,S,S,S,N,S,S,S,N,S,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,S,S,S,N,S,N,S,S,S,S,S,N,N,N,N,N,N
s08-03-28-sab-M1,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
s08-03-28-sab-M2,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,S,N,N,N,N,S,N,S,N,N,N,N,N,S,S,S,S,S,S
